CustomerNumber,Name,Name2,City,Region,PostalCode,Street,Address,CustomerClass
0000001028,"ACCELERON PHARMA",,CAMBRIDGE,MA,02139,"149 SIDNEY ST",0000022804,07
0000001029,"ACTIVE MOTIF",,CARLSBAD,CA,92008,"1914 PALOMAR OAKS WAY",0000022805,02
0000001030,"ACTIVX BIOSCIENCES",,"LA JOLLA",CA,92037,"11025 N TORREY PINES RD",0000022806,02
0000001031,"ADERANS RESEARCH INSTITUTE",,MARIETTA,GA,30067,"2211 NEWMARKET PKWY",0000022807,01
0000001032,"ADNEXUS THERAPEUTICS INC","A BMS R&D COMPANY",WALTHAM,MA,02453,"100 BEAVER ST",0000022808,07
0000001033,"ADVANCED BIOSCIENCE LABS",,KENSINGTON,MD,20895,"5510 NICHOLSON LN",0000022809,02
0000001034,"ADVANCED PRODUCT ENTERPRISES",,FREDERICK,MD,21704,"4539 METROPOLITAN CT",0000022810,02
0000001035,"ADVANCED TARGETING SYSTEMS INC",,"SAN DIEGO",CA,92121,"10451 ROSELLE ST",0000022811,02
0000001036,"AEROVANCE INC",,BERKLEY,CA,94710,"2929 7TH ST",0000022812,07
0000001037,AFFINITECH,,BENTONVILLE,AR,72712,"2308 SE 28TH ST",0000022813,02
0000001038,"AFFINITY LIFE SCIENCES INC",,MILFORD,NH,03055,"528 ROUTE 13 S",0000022814,02
0000001039,"AGARIGEN INC",,DURHAM,NC,27709,,0000022815,02
0000001040,"AGILENT TECHNOLOGIES INC",,"COLORADO SPRINGS",CO,80901,,0000022816,02
0000001041,"AGRESEARCH LTD",,HAMILTON,,3240,"PRIVATE BAG 3123",0000022817,02
0000001042,AGRI-KING,,FULTON,IL,61252,"18246 WALLER RD",0000022818,02
0000001043,"AGRIVIDA INC",,CAMBRIDGE,MA,02139,"411 MASSACHUSETTS AVE",0000022819,02
0000001044,"DANISCO / DUPONT",,"NEW CENTURY",KS,66031,"FOUR NEW CENTURY PKWY",0000022820,02
0000001045,"AKONNI BIOSYSTEMS INC",,FREDERICK,MD,21701,"401 ROSEMONT AVE",0000022821,03
0000001046,"AKRON GENERAL HEALTH SYSTEM",,AKRON,OH,44307,"400 WABASH AVE",0000022822,01
0000001047,"ALBANY COLLEGE OF PHARMACY & HEALTH",,ALBANY,NY,12208,"106 NEW SCOTLAND AVE",0000022823,01
0000001048,"ALBANY MEDICAL CENTER",,ALBANY,NY,12208,"43 NEW SCOTLAND AVE",0000022824,01
0000001049,"ALCON LABORATORIES INC",,"FORT WORTH",TX,76134,"6201 SOUTH FREEWAY",0000022825,07
0000001050,"ALEXION PHARMACEUTICALS INC",,"NEW HAVEN",CT,06510,"100 COLLEGE ST",0000022826,07
0000001051,"ALL B & TRADE LLC",,WELLINGTON,FL,33414,"125 SOUTH SR7",0000022827,02
0000001052,"ALLCELLS LLC",,EMERYVILLE,CA,94608,"5858 HORTON ST",0000022828,02
0000001053,"ALLEN INSTITUTE FOR BRAIN SCIENCE",,SEATTLE,WA,98103,"551 N 34TH ST",0000022829,01
0000001054,"ALLERGAN INC",,IRVINE,CA,92612,"2525 DUPONT DR",0000022830,07
0000001055,ALLERMETRIX,,FRANKLIN,TN,37064,"400 SUGARTREE LN",0000022831,03
0000001056,"ALL VETERINARY SUPPLY",,MIAMI,FL,33172,"175 FONTAINEBLEAU BLVD",0000022832,02
0000001057,"ALPHA DIAGNOSTICS INTL INC",,"SAN ANTONIO",TX,78244,"6203 WOODLAKE CTR",0000022833,02
0000001058,"ALPHAVAX HUMAN VACCINES INC",,RTP,NC,27709-0307,,0000022834,07
0000001059,"ALS THERAPY DEVELOPMENT INSTITUTE",,CAMBRIDGE,MA,02139,"300 TECHNOLOGY SQ",0000022835,01
0000001060,"INTERTEK PHARMACEUTICAL SERVICES",,"SAN DIEGO",CA,92121,"10420 WATERIDGE CIRCLE",0000022836,02
0000001061,"AMBERGEN INC",,WATERTOWN,MA,02472,"313 PLEASANT ST",0000022837,02
0000001062,AMBRX,,"LA JOLLA",CA,92037,"10975 N TORREY PINES RD",0000022838,07
0000001063,"AMERICAN ANALYTICAL CHEM LAB",INTERTEK,CHAMPAGNE,IL,61821,"711 PARKLAND CT",0000022839,02
0000001064,"AMERICAN ANIMAL HEALTH",,"FORT WORTH",TX,76140,"1401 JOEL EAST RD",0000022840,02
0000001065,AMERITEK,,EVERETT,WA,98208,"125 130TH STREET SE",0000022841,03
0000001066,"AMERICAN QUALEX",,"SAN CLEMENTE",CA,92673,"920-A CALLE NEGOCIO",0000022842,02
0000001067,"AMERICAN TYPE CULTURE COLLECTION",,MANASSAS,VA,20110,"10801 UNIVERSITY BLVD",0000022843,02
0000001068,"AMGEN INC",,"NEWBURY PARK",CA,91319,,0000022844,07
0000001069,"AMICUS THERAPEUTICS",,CRANBURY,NJ,08512,"6 CEDAR BROOK DR",0000022845,07
0000001070,"AMII PHARMACEUTICALS INC",,"SAN DIEGO",CA,92121,"9535 WAPLES ST",0000022846,07
0000001071,"AMERICAN SCIENCE & TECHNOLOGY",,CHICAGO,IL,60642,"1367 W CHICAGO AVE",0000022847,02
0000001072,"AMUNIX INC",,"MOUNTAIN VIEW",CA,94043,"500 ELLIS ST",0000022848,07
0000001073,"ANASPEC INC",,FREMONT,CA,94555,"34801 CAMPUS DR",0000022849,02
0000001074,"ANGELL MEMORIAL HOSPITAL",,BOSTON,MA,02130,"350 S HUNTINGTON AVE",0000022850,01
0000001075,"ANI LYTICS INC",,GAITHERSBURG,MD,20877,"200 GIRARD ST",0000022851,02
0000001076,"ANIMAL GENETICS INC",,TALLAHASSEE,FL,32312,"1336 TIMBERLANE RD",0000022852,02
0000001077,"ANTECH DIAGNOSTICS",,IRVINE,CA,92614,"17672-A COWAN AVE",0000022853,03
0000001078,"ANTIBODY SOLUTIONS",,SUNNYVALE,CA,94089,"1130 MOUNTAIN VIEW ALVISO RD",0000022854,02
0000001079,"ANTIBODY & IMMUNOASSAY CONSULTANT",,ROCKVILLE,MD,20850,"9623 MEDICAL CENTER DR",0000022855,02
0000001080,"AGENUS INC","FKA - ANTIGENICS INC",LEXINGTON,MA,02421,"3 FORBES RD",0000022856,07
0000001081,"AOVA TECHNOLOGIES INC",,MADISON,WI,53704,"3513 ANDERSON ST",0000022857,02
0000001082,"APARNA BIOSCIENCES CORPORATION",,ROCKVILLE,MD,20852,"12111 PARKLAWN DR",0000022858,02
0000001083,"APE-BRIDGEPATH SCIENTIFIC",,FREDERICK,MD,21703,"4841 INTERNATIONAL BLVD",0000022859,02
0000001084,"APPLIED BIOMOLECULAR TECHNOLOGIES",,COLUMBUS,OH,43212,"1381 KINNEAR RD",0000022860,02
0000001085,"APPLIED PROTEOMICS INC",,GLENDALE,CA,91201,"1209 GRAND CENTRAL AVE",0000022861,02
0000001086,"WU XI APPTEC INC",,"ST PAUL",MN,55120,"2540 EXECUTIVE DR",0000022862,02
0000001087,"AQUINAS COLLEGE",,"GRAND RAPIDS",MI,49506,"1607 ROBINSON RD SOUTHEAST",0000022863,01
0000001088,"ARAGEN BIOSCIENCE INC",,"MORGAN HILL",CA,95037,"380 WOODVIEW AVE",0000022864,02
0000001089,"ARANA THERAPEUTICS",,"REDWOOD CITY",CA,94063,"735 GALVESTON DR",0000022865,07
0000001090,ARCHEMIX,,CAMBRIDGE,MA,02142,"300 THIRD ST",0000022866,07
0000001091,"ARCHER PHARMACEUTICALS INC",,SARASOTA,FL,34243,"2040 WHITFIELD AVE",0000022867,07
0000001092,"ARGOS THERAPEUTICS",,DURHAM,NC,27704,"4233 TECHNOLOGY DR",0000022868,07
0000001093,"ARMAGEN INC",,"SANTA MONICA",CA,90401,"914 COLORADO AVE",0000022869,02
0000001094,"ARQULE INC",,WOBURN,MA,01801,"19 PRESIDENTIAL WAY",0000022870,07
0000001095,"ARRAY BIOPHARMA INC",,BOULDER,CO,80301,"3200 WALNUT ST",0000022871,07
0000001096,"GILEAD SCIENCES INC",,"SAN MATEO",CA,94402,,0000022872,07
0000001097,"ARRYX INC",,CHICAGO,IL,60601,"316 N MICHIGAN AVE",0000022873,02
0000001098,"VERINATA HEALTH INC",,"REDWOOD CITY",CA,94063,"800 SAGINAW DR",0000022874,03
0000001099,"ARTIELLE IMMUNOTHERAPEUTICS INC",,TIGARD,OR,97223,"9020 SW WASHINGTON SQ RD",0000022875,07
0000001100,"ARUP LABORATORIES INC",,"SALT LAKE CITY",UT,84108,"500 CHIPETA WAY",0000022876,02
0000001101,"ARVYS PROTEINS",,STAMFORD,CT,06902,"76 PROGRESS DR",0000022877,02
0000001102,"ENZO LIFE SCIENCES INC",,"ANN ARBOR",MI,48108,"5777 HINES DR",0000022878,02
0000001103,ASSAYPRO,,O'FALLON,MO,63366,"2 WOOD PARK CT",0000022879,02
0000001104,"ASTELLAS RESEARCH INSTITUTE",,SKOKIE,IL,60077,"8045 LAMON AVE",0000022880,01
0000001105,"ASTRA FORMEDIC SRL",,"LESSOLO (TO)",,10010,,0000022881,03
0000001106,"ASTRAZENECA PHARMACEUTICALS LP",,WILMINGTON,DE,19850-5250,,0000022882,07
0000001107,"ATHENS RESEARCH & TECHNOLOGY",,ATHENS,GA,,,0000022883,02
0000001108,"ATILA BIOSYSTEMS",,"PALO ALTO",CA,94306,"4236 DARLINGTON CT",0000022884,02
0000001109,"ATLANTA RESEARCH & EDUCATION FNDN",,DECATUR,GA,30033,"1670 CLAIRMONT RD",0000022885,01
0000001110,"ATTAGENE INC",,RTP,NC,27709,,0000022886,02
0000001111,"ATYR PHARMA INC",,"SAN DIEGO",CA,92121,"3565 GENERAL ATOMICS CT",0000022887,07
0000001112,"AUBURN UNIVERSITY",,AUBURN,AL,36849,,0000022888,01
0000001113,"AUDIT DIAGNOSTICS",,,,,"BUSINESS & TECHNOLOGY PARK",0000022889,03
0000001114,"AUREON LABORATORIES INC",,YONKERS,NY,10701,"28 WELLS AVE",0000022890,03
0000001115,"AUSHON BIOSYSTEMS INC",,BILLERICA,MA,01821,"43 MANNING RD",0000022891,02
0000001116,"AVALON PHARMACEUTICALS INC",,GERMANTOWN,MD,20876,"20358 SENECA MEADOWS PKWY",0000022892,07
0000001117,"AVANTGEN INC",,"SAN DIEGO",CA,92121,"10151 PACIFIC MESA BLVD",0000022893,02
0000001118,"AVAXIA BIOLOGICS",,LEXINGTON,MA,02421,"128 SPRING ST",0000022894,07
0000001119,AVENIR,,SOUTHBURY,CT,06488,"168 STONEGATE DR",0000022895,02
0000001120,"AVEO PHARMACEUTICALS INC",,CAMBRIDGE,MA,02139,"75 SIDNEY ST",0000022896,07
0000001121,"AVID BIOSERVICES",,TUSTIN,CA,92780,"14272 FRANKLIN AVE",0000022897,02
0000001122,"CELGENE AVILOMICS RESEARCH INC",,"SALT LAKE CITY",UT,84133,,0000022898,07
0000001123,"ARIZONA STATE UNIVERSITY",,TEMPE,AZ,85287,,0000022899,01
0000001124,"BALL STATE UNIVERSITY",,MUNCIE,IN,47306,"2000 W UNIVERSITY",0000022900,01
0000001125,"BANCK CLINICAL RESEARCH CTR",,"SAN DIEGO",CA,92121,"8716 PRODUCTION AVE",0000022901,02
0000001126,"BANNER HEALTH",,PHOENIX,AZ,85062,,0000022902,01
0000001127,"BANYAN BIOMARKERS",,"SAN DIEGO",CA,92127,"16744 W BERNARDO DR",0000022903,02
0000001128,"CENTRAL PURCHASING DEPT",,BARBADOS,,BB11145,"GOVERNMENT OF BARBADOS",0000022904,05
0000001129,"BATES COLLEGE",,LEWISTON,ME,04240,"2 ANDREWS RD",0000022905,01
0000001130,"BAXTER HEALTH CARE CORP",,DEERFIELD,IL,60015,"ONE BAXTER PKWY",0000022906,07
0000001131,"BAYER HEALTHCARE LLC","DIABETES CARE DIVISION",PITTSBURGH,PA,15230,,0000022907,07
0000001132,"BAYLOR COLLEGE OF MEDICINE",,HOUSTON,TX,77030-3411,"ONE BAYLOR PLAZA",0000022908,01
0000001133,"BAYLOR UNIVERSITY MEDICAL CENTER",,DALLAS,TX,75246,"3500 GASTON AVE",0000022909,01
0000001134,"BBI ENZYMES LTD",,MADISON,WI,53718,"2312-2314 VONDRON RD",0000022910,02
0000001135,"BD BIOSCIENCES PHARMINGEN",,"SAN JOSE",CA,95131-1807,"2350 QUME DR",0000022911,02
0000001136,"BD DIAGNOSTICS - TRIPATH",,BURLINGTON,NC,27215,"780 PLANTATION DR",0000022912,03
0000001137,"BECKMAN COULTER AP",,BREA,CA,92822,,0000022913,03
0000001138,"BECTON DICKINSON & COMPANY",,RANTOUL,IL,61866-5200,,0000022914,03
0000001139,"BENAROYA RESEARCH INSTITUTE",,SEATTLE,WA,98101,"1201 9TH AVE",0000022915,01
0000001140,"BETH ISRAEL DEACONESS MEDICAL CTR",,BOSTON,MA,02215,,0000022916,01
0000001141,"BETHUNE COOKMAN UNIVERSITY",,"DAYTONA BEACH",FL,32114,"640 MARY MCLEOD BETHUNE BLVD",0000022917,01
0000001142,"BIG EAST BIOTECH CO",,COLUMBIA,SC,29223,"106 HIGH KNOLL RD",0000022918,02
0000001143,"BINAX INC",,SCARBOROUGH,ME,04074,"10 SOUTHGATE RD",0000022919,03
0000001144,"THE BINDING SITE VT INC",,BENSON,VT,05743,"3697 ROUTE 144",0000022920,02
0000001145,"BIOASSAY WORKS LLC",,IJAMSVILLE,MD,21754,"10075 TYLER PLACE",0000022921,02
0000001146,"BIOCARE MEDICAL",,PACHECO,CA,94553,"60 BERRY DR",0000022922,03
0000001147,"BIOCEPT INC",,"SAN DIEGO",CA,92121,"5810 NANCY RIDGE DR",0000022923,02
0000001148,"BIOCOM AFRICA (PTY) LTD",,CENTURION,,0157,"265 PRETORIUS STR",0000022924,04
0000001149,"BIO E INC",,"ST PAUL",MN,55127,"4280 CENTERVILLE RD",0000022925,02
0000001150,BIOENZA,,"MOUNTAIN VIEW",CA,94043,"935 SIERRA VISTA",0000022926,02
0000001151,"BIOGEN IDEC",,CAMBRIDGE,MA,02142,,0000022927,07
0000001152,"BIOGEN IDEC",,RTP,NC,27709,"5000 DAVIS DR",0000022928,07
0000001153,"BIOGENUIX MEDSYSTEMS PVT LTD",,"NEW DELHI",,110058,"DISTRICT CENTER",0000022929,04
0000001154,"BIOGEN IDEC",,WALTHAM,MA,02451,"NINE 4TH AVE",0000022930,07
0000001155,"BIOINCELL LLC",,KATY,TX,77449,"3115 N FRY RD",0000022931,03
0000001156,"BIOLATEX SL",,,,26006,LOGRO╤O,0000022932,03
0000001157,BIOLEGEND,,"SAN DIEGO",CA,92121,"9727 PACIFIC HEIGHTS BLVD",0000022933,02
0000001158,BIOLEX,,MORRISVILLE,NC,27560,,0000022934,07
0000001159,"BIOLINE US INC",,TAUNTON,MA,02780,"305 CONSTITUTION DR",0000022935,02
0000001160,"BIO MARIN PHARMACEUTICAL INC",,NOVATO,CA,94949,"105 DIGITAL DR",0000022936,07
0000001161,"BIOMAX INC",,ARCADIA,CA,91006,"236 E FOOTHILL BLVD",0000022937,02
0000001162,"BIOMERICA INC",,IRVINE,CA,92614,"17571 VON KARMAN AVE",0000022938,03
0000001163,"BIOMOL GMBH",,HAMBURG,,22769,"WAIDMANNSTR. 35",0000022939,04
0000001164,"BIOMUNE CO",,LENEXA,KS,66215,"8906 ROSEHILL RD",0000022940,02
0000001165,"BIONET INC",,SOUTHBRIDGE,MA,01550,"33 OAKS AVE",0000022941,02
0000001166,"BIONOVA CIENTIFICA SL",,MADRID,,28007,"ABTAO, 5 OF 3",0000022942,04
0000001167,BIOQUAL,,ROCKVILLE,MD,20850,"9608 MEDICAL CENTER DR",0000022943,02
0000001168,"BIO-RAD LABORATORIES INC",,HERCULES,CA,94547,"225 LINUS PAULING DR",0000022944,03
0000001169,"BIOSCALE INC",,LEXINGTON,MA,02421,"4 MAGUIRE RD",0000022945,02
0000001170,"BIOSEEK INC",,"S SAN FRANCISCO",CA,94080,"310 UTAH AVE",0000022946,02
0000001171,"ALERE SAN DIEGO INC","FKA BIOSITE DIAGNOSTICS","SAN DIEGO",CA,92121,"9975 SUMMERS RIDGE RD",0000022947,03
0000001172,"BIOSPACIFIC INC / BIOTECHNE",,EMERYVILLE,CA,94608,"5980 HORTON ST",0000022948,02
0000001173,"BIOSYNTECH MALAYSIA GROUP SDN BHD",,"SUBANG JAYA",SEL,47600,"TAMAN PERINDUSTRIAN UEP",0000022949,04
0000001174,"BIOSYSTEM DEVELOPMENT LLC",,MADISON,WI,53717,"802 DEMING WAY",0000022950,02
0000001175,"BIOSYSTEM DESIGN LLC",,LEBANON,NH,03766,"10 WATER ST",0000022951,02
0000001176,"BIOTECX LABORATORIES",,HOUSTON,TX,77034,"15255 GULF FREEWAY",0000022952,02
0000001177,BIOTEKNICA,,SALEM,NH,03079,"8 E INDUSTRIAL WAY",0000022953,02
0000001178,"BIOTEST LTD",,"KFAR SABA",,4442405,"HASADNA 6 / PO BOX 8006",0000022954,04
0000001179,"BIOVEX INC",,WOBURN,MA,01801,"34 COMMERCE WAY",0000022955,07
0000001180,"BIOVISION INC",,MILPITAS,CA,95035,"155 S MILPITAS",0000022956,02
0000001181,"BIOWARN LLC",,"MONTGOMERY VILL",MD,20886,"19632 CLUB HOUSE RD",0000022957,02
0000001182,"BOLDER BIOPATH INC",,BOULDER,CO,80301,"5541 CENTRAL AVE",0000022958,02
0000001183,"BOSTON COLLEGE",,BOSTON,MA,02167,"CHESNUT HILL",0000022959,01
0000001184,"BOSTON MEDICAL CENTER",,BOSTON,MA,02119-9180,"BOSTON MEDICAL SERVICES",0000022960,01
0000001185,"BOSTON UNIVERSITY",,BOSTON,MA,02215,"25 BUICK ST",0000022961,01
0000001186,"BOWLING GREEN STATE UNIVERSITY",,"BOWLING GREEN",OH,43403,,0000022962,01
0000001187,"BRENTWOOD BIOMEDICAL RESEARCH INST",,"LOS ANGELES",CA,90025,,0000022963,01
0000001188,"BRIGHAM & WOMENS HOSPITAL",,CHARLESTOWN,MA,02129,,0000022964,01
0000001189,"BRIGHAM YOUNG UNIVERSITY",,PROVO,UT,84602,,0000022965,01
0000001190,"BROOKS AIRFORCE BASE",,"BROOKS AFB",TX,78235,"2712 FLIGHT NURSE RD",0000022966,05
0000001191,"BROWN UNIVERSITY",,PROVIDENCE,RI,02912,"164 ANGELL ST",0000022967,01
0000001192,"BSV BIOSCIENCES",,"MORGAN HILL",CA,95037,"380 WOODVIEW AVE",0000022968,02
0000001193,"BUCK INST FOR RESEARCH ON AGING",,NOVATO,CA,94945,"8001 REDWOOD BLVD",0000022969,01
0000001194,"BUCKNELL UNIVERSITY",,LEWISBURG,PA,17837,"1 DENT DR",0000022970,01
0000001195,"BURKE REHABILITATION HOSPITAL",,"WHITE PLAINS",NY,10605,"785 MAMARONECK AVE",0000022971,01
0000001196,"BURLESON RESEARCH TECHNOLOGIES",,MORRISVILLE,NC,27560,"120 FIRST FLIGHT LN",0000022972,02
0000001197,"SANFORD BURNHAM MEDICAL RSRCH INST",,"LA JOLLA",CA,92037,"10901 N TORREY PINES RD",0000022973,01
0000001198,"CALANDO PHARMACEUTICALS INC",,PASADENA,CA,91106,"129 NORTH HILL AVE",0000022974,07
0000001199,"CALIFORNIA DEPT OF PUBLIC HEALTH",,"CITY OF INDUSTRY",CA,91715,,0000022975,05
0000001200,"CALIPER LIFE SECINCES",,HANOVER,MD,21076,"7170 STANDARD DR",0000022976,02
0000001201,"CALISTOGA PHARMACEUTICALS",,SEATTLE,WA,98121,"2101 4TH AVE",0000022977,07
0000001202,"CALIFORNIA INSTITUTE OF TECHNOLOGY",,PASADENA,CA,91125,"1200 E CALIFORNIA BLVD",0000022978,01
0000001203,"CALVERT LABORATORIES",,"SCOTT TOWNSHIP",PA,18447,"130 DISCOVERY DR",0000022979,07
0000001204,"CAMBRIDGE BIOSCIENCE",,CAMBRIDGE,,CB23-8SQ,"TRAFALGAR WAY",0000022980,04
0000001205,"CARNEGIE MELLON UNIVERSITY",,PITTSBURGH,PA,15217,"4400 FIFTH AVE",0000022981,01
0000001206,"CARNEGIE INSTITUTE",,BALTIMORE,MD,21218,"3520 SAN MARTIN DR",0000022982,01
0000001207,"CAROLINAS HEALTHCARE SYSTEM",,PORTLAND,OR,97228-5379,,0000022983,01
0000001208,"CARSON-NEWMAN COLLEGE",,"JEFFERSON CITY",TN,37760,,0000022984,01
0000001209,"CASE WESTERN RESERVE UNIVERSITY",,CLEVELAND,OH,44106-4910,"10900 EUCLID AVE",0000022985,01
0000001210,"CALIFORNIA STATE UNIVERSITY",,FRESNO,CA,93740,"5150 N MAPLE AVE",0000022986,01
0000001211,"CALIFORNIA STATE POLYTECHNIC UNIV",,POMONA,CA,91768,"3801 W TEMPLE AVE",0000022987,01
0000001212,"CALIFORNIA STATE UNIVERSITY",,FULLERTON,CA,92831-3137,"2600 E NUTWOOD AVE",0000022988,01
0000001213,"CATALENT PHARMA SOLUTIONS",,"EL PASO",NC,79998-2106,,0000022989,07
0000001214,"CATALYST BIOSCIENCES INC",,"S SAN FRANCISCO",CA,94080,"260 LITTLEFIELD AVE",0000022990,07
0000001215,"DIGNITY HEALTH","FKA CATHOLIC HEALTHCARE WEST",PHOENIX,AZ,85013,"3033 N 3RD AVE",0000022991,02
0000001216,"CATX INC",,GLADWYNE,PA,19035,,0000022992,02
0000001217,"CAYMAN CHEMICAL CO",,"ANN ARBOR",MI,48108,"1180 E ELLSWORTH RD",0000022993,02
0000001218,"CENTER FOR DISEASE CONTROL",,ATLANTA,GA,30329-4018,"1600 CLIFTON RD NE",0000022994,05
0000001219,"CENTER FOR DISEASE CONTROL",,MORGANTOWN,WV,26505,"1095 WILLOWDALE RD",0000022995,05
0000001220,"CDI BIOSCIENCE",,MADISON,WI,53704,"3587 ANDERSON ST",0000022996,02
0000001221,"CEDARLANE LABORATORIES LIMITED",,BURLINGTON,ON,"L7L 5R2","4410 PALETTA CT",0000022997,04
0000001222,"CEDARS SINAI MEDICAL CENTER",,"LOS ANGELES",CA,90048,,0000022998,01
0000001223,"CEDARVILLE UNIVERSITY",,CEDARVILLE,OH,45314,"251 N MAIN ST",0000022999,01
0000001224,"CELERA GENOMICS",,BURLINGAME,CA,94010,"839 MITTEN RD",0000023000,07
0000001225,"CELGENE CORPORATION",,"SALT LAKE CITY",UT,84127,,0000023001,07
0000001226,"CELLULAR THERAPEUTICS",,WARREN,NJ,07059,"7 POWDER HORN DR",0000023002,07
0000001227,"CELL & TISSUE SYSTEMS INC",,ITASCA,IL,60143,"ONE PIERCE PLACE",0000023003,02
0000001228,"CELLASIC CORPORATION",,"SAN LEANDRO",CA,94577,"2551 MERCED ST",0000023004,02
0000001229,"CELL BIOSCIENCES INC",,"PALO ALTO",CA,94304,"1050 PAGE MILL RD",0000023005,02
0000001230,"CELLDEX THERAPEUTICS INC",,NEEDHAM,MA,02494,"119 FOURTH AVE",0000023006,07
0000001231,"CELLULAR DYNAMICS INTERNATIONAL",,MADISON,WI,53711,"525 SCIENCE DR",0000023007,02
0000001232,"CELLERANT THERAPEUTICS",,"SAN CARLOS",CA,94070,"1561 INDUSTRIAL RD",0000023008,07
0000001233,"CELL GENESYS",,"S SAN FRANCISCO",CA,94080,"500 FORBES BLVD",0000023009,07
0000001234,"CELL MARQUE",,ROCKLIN,CA,95677,"6600 SIERRA COLLEGE BLVD",0000023010,02
0000001235,"CELLSCAPE CORPORATION",,NEWARK,CA,94560-1156,"7979 GATEWAY BLVD",0000023011,03
0000001236,"CELL SIGNALING",,DANVERS,MA,01923,"3 TRASK LN",0000023012,02
0000001237,"CENTOCOR INC",,"NEW BRUNSWICK",PA,08906-6540,,0000023013,07
0000001238,"CEQUENT PHARMACEUTICAL",,CAMBRIDGE,MA,02139,"ONE KENDALL SQ",0000023014,07
0000001239,"CERTEST BIOTEC USA",,PITTSBURGH,PA,15243,"688 DORIS DR",0000023015,03
0000001240,"CHANEL INC",,"SALT LAKE CITY",UT,84130,,0000023016,02
0000001241,"ARKANSAS CHILDRENS HOSPITAL",,"LITTLE ROCK",AR,72202,"1 CHILDREN'S WAY",0000023017,01
0000001242,"CHARLES RIVER LABORATORIES",,WILMINGTON,MA,01887,"251 BALLARDVALE ST",0000023018,02
0000001243,"CHARLES RIVER LABORATORIES",,WILMINGTON,MA,01887,"251 BALLARDVALE ST",0000023019,02
0000001244,"CHARLES R DREW UNIV OF MED & SCI",,"LOS ANGELES",CA,90059,"1731 E 120TH ST",0000023020,01
0000001245,"CHARM SCIENCES",,LAWRENCE,MA,01843,"659 ANDOVER ST",0000023021,03
0000001246,"BOSTON CHILDRENS HOSPITAL",,BOSTON,MA,02115,"300 LONGWOOD AVE",0000023022,01
0000001247,"CHILDRENS HOSPITAL OF OAKLAND",,OAKLAND,CA,94609,"747 52ND ST",0000023023,01
0000001248,"CHILDRENS MEMORIAL HOSPITAL CHICAGO",,CHICAGO,IL,60614,"225 E CHICAGO AVE",0000023024,01
0000001249,"CINCINNATI CHILDRENS HOSPITAL",,CINCINNATI,OH,45229-3039,"*****BILL TO TAULIA *******",0000023025,01
0000001250,"CHILDRENS RESEARCH INSTITUTE",,WASHINGTON,DC,20010,"111 MICHIGAN AVE NW",0000023026,01
0000001251,"CHEMBIO DIAGNOSTIC SYSTEMS",,MEDFORD,NY,11763,"3661 HORSEBLOCK RD",0000023027,03
0000001252,"CHEMICAL SCIENCE LAB LLC",,BROWNSVILLE,TX,78526,"30 PROVIDENCIA CT",0000023028,02
0000001253,"CHEMUX BIOSCIENCE",,"S SAN FRANCISCO",CA,94080,"50 S LINDEN AVE",0000023029,03
